07:18:52 | 200 |     14.1654ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:19:58 | 400 |      4.6418ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:20:00 | 400 |      1.0874ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:20:22 | 400 |      4.2732ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:20:24 | 400 |       505.9µs | 127.0.0.1 | PATCH | /api/course-customer | -
07:20:25 | 400 |      1.2718ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:20:49 | 200 |     14.6008ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:20:50 | 200 |      3.0486ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:20:51 | 200 |       2.081ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:20:52 | 200 |      2.5921ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:20:52 | 200 |      3.2905ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:20:53 | 200 |      7.2704ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:20:54 | 200 |      2.6277ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:20:55 | 200 |      2.6008ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:20:56 | 200 |      1.6827ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:20:57 | 200 |      1.7638ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:20:58 | 200 |      2.2828ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:20:58 | 200 |      7.0591ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:20:59 | 200 |      1.9462ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:21:00 | 200 |      6.2939ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:21:00 | 200 |      3.8341ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:21:02 | 200 |      2.6456ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:21:17 | 200 |      4.1121ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:21:17 | 200 |      1.5665ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:21:18 | 200 |      2.3329ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:21:19 | 200 |      2.7047ms | 127.0.0.1 | PATCH | /api/course-customer | -
07:21:23 | 200 |      1.0283ms | 127.0.0.1 | GET | /api/user/me | -
07:21:40 | 200 |     15.6063ms | 127.0.0.1 | POST | /api/course/ | -
07:21:44 | 200 |       4.202ms | 127.0.0.1 | POST | /api/course/ | -
07:21:46 | 200 |      41.457ms | 127.0.0.1 | POST | /api/course/ | -
07:30:09 | 400 |      1.7771ms | 127.0.0.1 | POST | /api/course/ | -
07:30:21 | 400 |      1.3497ms | 127.0.0.1 | POST | /api/course/ | -
07:30:50 | 200 |     21.7661ms | 127.0.0.1 | POST | /api/course/ | -
07:31:35 | 400 |            0s | 127.0.0.1 | POST | /api/course/ | -
07:31:43 | 400 |       399.1µs | 127.0.0.1 | POST | /api/course/ | -
07:31:50 | 400 |      5.2873ms | 127.0.0.1 | POST | /api/course/ | -
07:31:58 | 200 |      2.0372ms | 127.0.0.1 | POST | /api/course/ | -
07:33:20 | 400 |     18.8956ms | 127.0.0.1 | POST | /api/course/ | -
07:33:21 | 400 |      3.1931ms | 127.0.0.1 | POST | /api/course/ | -
07:33:39 | 400 |     17.1069ms | 127.0.0.1 | POST | /api/course/ | -
07:33:40 | 400 |      2.9772ms | 127.0.0.1 | POST | /api/course/ | -
07:33:41 | 400 |     48.0768ms | 127.0.0.1 | POST | /api/course/ | -
07:33:44 | 200 |      7.1327ms | 127.0.0.1 | POST | /api/course/ | -
07:34:55 | 400 |     18.3867ms | 127.0.0.1 | POST | /api/course/ | -
