18:12:42 | 200 |      1.3975ms | 127.0.0.1 | POST | /api/user/login | -
18:12:44 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:12:46 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:12:49 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:12:52 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:12:55 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:12:58 | 200 |       620.4µs | 127.0.0.1 | GET | /metrics | -
18:13:00 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:13:03 | 204 |            0s | 127.0.0.1 | OPTIONS | /api/user/login | -
18:13:03 | 200 |      2.9244ms | 127.0.0.1 | POST | /api/user/login | -
18:13:03 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:13:04 | 200 |      3.2979ms | 127.0.0.1 | POST | /api/user/login | -
18:13:04 | 200 |     12.1076ms | 127.0.0.1 | POST | /api/user/login | -
18:13:04 | 200 |       1.951ms | 127.0.0.1 | POST | /api/user/login | -
18:13:04 | 200 |      1.6494ms | 127.0.0.1 | POST | /api/user/login | -
18:13:04 | 200 |       1.356ms | 127.0.0.1 | POST | /api/user/login | -
18:13:05 | 200 |      1.8247ms | 127.0.0.1 | POST | /api/user/login | -
18:13:05 | 200 |      1.6622ms | 127.0.0.1 | POST | /api/user/login | -
18:13:05 | 200 |      2.5403ms | 127.0.0.1 | POST | /api/user/login | -
18:13:05 | 200 |      2.0957ms | 127.0.0.1 | POST | /api/user/login | -
18:13:05 | 200 |      1.7513ms | 127.0.0.1 | POST | /api/user/login | -
18:13:05 | 200 |      1.5134ms | 127.0.0.1 | POST | /api/user/login | -
18:13:05 | 200 |      1.7894ms | 127.0.0.1 | POST | /api/user/login | -
18:13:06 | 200 |       2.559ms | 127.0.0.1 | POST | /api/user/login | -
18:13:06 | 200 |      1.2888ms | 127.0.0.1 | POST | /api/user/login | -
18:13:06 | 200 |      1.9828ms | 127.0.0.1 | POST | /api/user/login | -
18:13:06 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:13:06 | 200 |      2.0834ms | 127.0.0.1 | POST | /api/user/login | -
18:13:06 | 200 |      1.4117ms | 127.0.0.1 | POST | /api/user/login | -
18:13:06 | 200 |      2.4873ms | 127.0.0.1 | POST | /api/user/login | -
18:13:07 | 200 |      1.9736ms | 127.0.0.1 | POST | /api/user/login | -
18:13:07 | 200 |      2.7494ms | 127.0.0.1 | POST | /api/user/login | -
18:13:07 | 200 |      3.0894ms | 127.0.0.1 | POST | /api/user/login | -
18:13:07 | 200 |      2.5515ms | 127.0.0.1 | POST | /api/user/login | -
18:13:07 | 200 |      1.8529ms | 127.0.0.1 | POST | /api/user/login | -
18:13:08 | 200 |      2.0426ms | 127.0.0.1 | POST | /api/user/login | -
18:13:08 | 200 |      7.0388ms | 127.0.0.1 | POST | /api/user/login | -
18:13:08 | 200 |      1.3382ms | 127.0.0.1 | POST | /api/user/login | -
18:13:08 | 204 |            0s | 127.0.0.1 | OPTIONS | /api/user/login | -
18:13:08 | 200 |       2.445ms | 127.0.0.1 | POST | /api/user/login | -
18:13:08 | 200 |       2.456ms | 127.0.0.1 | POST | /api/user/login | -
18:13:08 | 200 |      1.2829ms | 127.0.0.1 | POST | /api/user/login | -
18:13:08 | 200 |      1.7627ms | 127.0.0.1 | POST | /api/user/login | -
18:13:09 | 200 |      1.1833ms | 127.0.0.1 | POST | /api/user/login | -
18:13:09 | 200 |      1.5723ms | 127.0.0.1 | POST | /api/user/login | -
18:13:09 | 200 |       1.586ms | 127.0.0.1 | POST | /api/user/login | -
18:13:09 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:13:09 | 200 |      1.6762ms | 127.0.0.1 | POST | /api/user/login | -
18:13:09 | 200 |       1.347ms | 127.0.0.1 | POST | /api/user/login | -
18:13:09 | 200 |      1.3834ms | 127.0.0.1 | POST | /api/user/login | -
18:13:09 | 200 |      5.1951ms | 127.0.0.1 | POST | /api/user/login | -
18:13:10 | 200 |      2.9502ms | 127.0.0.1 | POST | /api/user/login | -
18:13:10 | 200 |      1.0258ms | 127.0.0.1 | POST | /api/user/login | -
18:13:10 | 200 |       1.498ms | 127.0.0.1 | POST | /api/user/login | -
18:13:10 | 200 |      1.7981ms | 127.0.0.1 | POST | /api/user/login | -
18:13:10 | 200 |       920.5µs | 127.0.0.1 | POST | /api/user/login | -
18:13:10 | 200 |      1.4482ms | 127.0.0.1 | POST | /api/user/login | -
18:13:10 | 200 |      1.7151ms | 127.0.0.1 | POST | /api/user/login | -
18:13:11 | 200 |      2.0528ms | 127.0.0.1 | POST | /api/user/login | -
18:13:11 | 200 |      1.1172ms | 127.0.0.1 | POST | /api/user/login | -
18:13:11 | 200 |      1.5908ms | 127.0.0.1 | POST | /api/user/login | -
18:13:11 | 200 |      1.1459ms | 127.0.0.1 | POST | /api/user/login | -
18:13:11 | 200 |      2.9412ms | 127.0.0.1 | POST | /api/user/login | -
18:13:11 | 200 |      1.7083ms | 127.0.0.1 | POST | /api/user/login | -
18:13:12 | 200 |      1.5216ms | 127.0.0.1 | POST | /api/user/login | -
18:13:12 | 200 |      7.0742ms | 127.0.0.1 | POST | /api/user/login | -
18:13:12 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:13:12 | 200 |      1.4005ms | 127.0.0.1 | POST | /api/user/login | -
18:13:12 | 200 |      1.4589ms | 127.0.0.1 | POST | /api/user/login | -
18:13:12 | 200 |      1.6272ms | 127.0.0.1 | POST | /api/user/login | -
18:13:12 | 200 |      3.5155ms | 127.0.0.1 | POST | /api/user/login | -
18:13:12 | 200 |      1.5905ms | 127.0.0.1 | POST | /api/user/login | -
18:13:13 | 200 |      1.5168ms | 127.0.0.1 | POST | /api/user/login | -
18:13:13 | 200 |       1.518ms | 127.0.0.1 | POST | /api/user/login | -
18:13:13 | 200 |       1.777ms | 127.0.0.1 | POST | /api/user/login | -
18:13:13 | 204 |            0s | 127.0.0.1 | OPTIONS | /api/user/login | -
18:13:13 | 200 |      2.3071ms | 127.0.0.1 | POST | /api/user/login | -
18:13:13 | 200 |      3.4879ms | 127.0.0.1 | POST | /api/user/login | -
18:13:13 | 200 |      1.8528ms | 127.0.0.1 | POST | /api/user/login | -
18:13:14 | 200 |      1.3281ms | 127.0.0.1 | POST | /api/user/login | -
18:13:14 | 200 |      2.1805ms | 127.0.0.1 | POST | /api/user/login | -
18:13:14 | 200 |      2.5338ms | 127.0.0.1 | POST | /api/user/login | -
18:13:14 | 200 |      1.7736ms | 127.0.0.1 | POST | /api/user/login | -
18:13:14 | 200 |      2.1589ms | 127.0.0.1 | POST | /api/user/login | -
18:13:14 | 200 |      1.6206ms | 127.0.0.1 | POST | /api/user/login | -
18:13:14 | 200 |       1.396ms | 127.0.0.1 | POST | /api/user/login | -
18:13:15 | 200 |            0s | 127.0.0.1 | GET | /metrics | -
18:13:15 | 200 |       967.8µs | 127.0.0.1 | POST | /api/user/login | -
18:13:15 | 200 |       953.2µs | 127.0.0.1 | POST | /api/user/login | -
18:13:15 | 200 |      1.7616ms | 127.0.0.1 | POST | /api/user/login | -
18:13:15 | 200 |      3.1251ms | 127.0.0.1 | POST | /api/user/login | -
18:13:15 | 200 |      1.7444ms | 127.0.0.1 | POST | /api/user/login | -
18:13:15 | 200 |      2.6167ms | 127.0.0.1 | POST | /api/user/login | -
18:13:16 | 200 |       1.398ms | 127.0.0.1 | POST | /api/user/login | -
18:13:16 | 200 |      1.4671ms | 127.0.0.1 | POST | /api/user/login | -
18:13:16 | 200 |      2.0286ms | 127.0.0.1 | POST | /api/user/login | -
18:13:16 | 200 |      1.6628ms | 127.0.0.1 | POST | /api/user/login | -
18:13:16 | 200 |      1.2455ms | 127.0.0.1 | POST | /api/user/login | -
18:13:16 | 200 |      1.7601ms | 127.0.0.1 | POST | /api/user/login | -
18:13:16 | 200 |      2.6033ms | 127.0.0.1 | POST | /api/user/login | -
18:13:17 | 200 |      1.4394ms | 127.0.0.1 | POST | /api/user/login | -
18:13:17 | 200 |      2.3462ms | 127.0.0.1 | POST | /api/user/login | -
18:13:17 | 200 |      3.0745ms | 127.0.0.1 | POST | /api/user/login | -
18:13:17 | 200 |       1.318ms | 127.0.0.1 | POST | /api/user/login | -
